accountid,device_feat_1,device_feat_2
e874dfd4-3ca2-4a99-97e4-5eb7787eb326,browser_16,device_4023
0a59c9be-a25a-4795-ad0b-65befc0aaebe,browser_16,device_1182
3dfce7fa-05b7-457f-9d95-1f06a16fcb5b,browser_11,device_5428
1fab82f4-77be-4db2-bc5d-2b68548a7ffb,browser_11,device_5428
b73fa9a9-8524-4f32-9482-859006968f01,browser_16,device_1182
2df694d4-505f-4118-b19e-545a7cd211b6,browser_16,device_4564
b677cbbf-ce49-436f-a69e-d5f232d9d93c,browser_11,device_5428
cf81e988-dd08-4ca8-a2a0-3d18dcf4c921,browser_11,device_5428
92848a27-8db9-40d0-b501-06e657b4ba55,browser_22,device_3218
2aa4b71f-792c-4a5c-96bc-f4041a22c63a,browser_16,device_2960
fe7e797c-6680-4874-85ea-bf24ba264eca,browser_23,device_4942
87f8aead-6d6f-4893-bb15-1c8d91dac121,browser_22,device_4564
8a18b823-33bd-4ff8-919e-bde1e9dc8617,browser_16,device_3543
eff0cbb0-22b8-49ab-b0c5-4c02b77eae2c,browser_22,device_5321
20b7d188-367b-4883-b03d-976290fda085,browser_15,device_656
bd85f2fa-ab7d-4473-a796-4b11f61227c8,browser_16,device_4564
82578bac-f2da-4dd7-9b99-6208e4b814aa,browser_11,device_3436
6dd74c0d-c60a-4e4c-9b91-64191aa9cbb4,browser_11,device_2567
59581b5d-38ca-40f1-8bcf-28fb4a1e8f3e,browser_15,device_3861
64209122-61ce-4534-8a84-2fb6469c814c,browser_16,device_4564
a85c7073-af85-4759-afa5-1ddfc81b2b5b,browser_11,device_5428
21c40f62-a6d9-4917-8a78-059409b37d25,browser_11,device_5428
c6754c97-3ad3-481b-a25e-ec4aef11c88f,browser_23,device_2947
aec5baf4-173a-4256-9dec-54ca52539c96,browser_16,device_1496
7eb683fe-e029-40a4-84c6-b0d59e7f8784,browser_23,device_143
c89cd866-2748-4aa1-bb52-1634414a4050,browser_16,device_2284
213ae0e2-bf10-47e5-8347-807349bf8837,browser_16,device_4357
cfef9198-26c5-4875-9d2f-18cfb5e5f064,browser_16,device_2261
553ea7de-1697-4a13-a398-41b9b19dc736,browser_23,device_3553
c0cf4b61-3820-4721-8ee7-419a14b09150,browser_16,device_380
3d633beb-5aee-4f76-80ca-14ed3c1d8d78,browser_16,device_3090
af79fcac-92a0-4def-b1d9-bb13baba2fe1,browser_22,device_1911
846447c4-7d44-493b-a1c4-e923e74f4568,browser_11,device_5428
cbb377a4-37e8-42f2-8df7-92a539177bae,browser_22,device_1696
85f03047-98df-48f2-a220-eef7c0f2662a,browser_8,device_3540
3f9f8b3d-29b5-4a18-a070-5ca2367495bb,browser_12,device_2781
69a29ac6-10ea-45d1-be81-9aad4c2e9134,browser_16,device_2470
6a23f447-9077-4a0b-8958-413e57814d52,browser_15,device_2807
45521384-7f3a-4cdf-9e4b-49a3fd1d2e3a,browser_16,device_358
9b7311ab-ba1a-485e-b961-72c6a487768e,browser_16,device_2409
4f6fb22e-ff76-4d07-b4c6-17655bdf6aa6,browser_16,device_3135
86354628-e374-4a68-851a-b9e57b5a27df,browser_16,device_5479
66bda180-a0ba-407e-8a91-6a16edee82f2,browser_11,device_2567
18a48234-28a0-4f0d-81ac-f9c9115e372a,browser_16,device_1182
50b1075a-df00-4463-88db-c0edd8626c42,browser_11,device_5428
bb315b81-b4bc-4563-8c8e-eef8aa02cd40,browser_15,device_5558
34ba3a2f-0959-4758-8723-e6f9d0b488ea,browser_22,device_2586
408df6f3-83e1-4ecd-b7cd-bab781fb7dbc,browser_23,device_1161
473d574f-8f1c-41f6-a7e9-6e94cc350cb1,browser_16,device_589
53aed16b-c4d3-454c-8bbc-e719d39e58f6,browser_22,device_2618
19562557-a6ab-455f-a143-414c3c4a23f6,browser_16,device_3913
4df0d8fc-51bb-4145-9c44-841951ac8015,browser_23,device_619
12377b1c-e7ee-4aef-8c79-71eadc262739,browser_16,device_4564
36e7c0a0-bc35-480f-8fa9-4da16493c53f,browser_16,device_1980
f8063ca1-c564-46f3-8c7a-88cf2f0818b9,browser_16,device_5697
efc9bd9b-f7e0-498d-b10f-1526c06b33b6,browser_16,device_4564
54b4f340-7934-497e-8dc1-92aae9238cc1,browser_16,device_2542
640e7b64-b780-4dea-9491-024e6a0b285c,browser_16,device_358
020866cb-ca70-4cd0-8c4c-ebb40e7f7beb,browser_16,device_1622
595573c8-d659-4436-a631-a97f5b52a832,browser_11,device_5428
72e36aaf-26e6-4c8d-b536-8df9bfd0e4cf,browser_16,device_4564
eb20ee0a-5884-4df5-81b4-8d1ccd976a51,browser_22,device_3561
700bae8d-bdcd-4945-8d64-7e2bb2334d35,browser_18,device_4564
a1fb4252-df33-4701-a78c-53db340a6f69,browser_16,device_5796
d7d1702b-abad-4dc9-a9d2-b2e1acc5bcd3,browser_15,device_1460
8231a8c6-8d37-459d-8b97-cdd70bed9ba1,browser_23,device_5191
ae649898-a89d-468b-af7b-1e64cc9b47ac,browser_16,device_1037
be2422e9-1259-4010-b155-8f77ca4fa105,browser_16,device_2164
a274823e-54da-4c89-9e0a-31810363fa80,browser_16,device_3543
faf3e2ef-0733-42f0-9094-ae8ca2e61188,browser_16,device_358
66e0272f-008f-4fad-9863-387697bd7231,browser_11,device_5428
cb741b38-66f6-4f5b-8c23-e3e62a5f250e,browser_16,device_4460
e804e15c-c9c0-49ab-b349-9cd5ec1eab54,browser_16,device_4387
d5dddbfc-675a-4541-becc-781384fc1e48,browser_16,device_5838
9b7ba0d2-100e-4cb8-b96e-8825a76c0817,browser_15,device_4564
ac51a555-5a2c-4522-907d-ff4caad047a8,browser_16,device_356
7e748694-bb09-4e58-971d-8ba2d3332a23,browser_16,device_1980
b711bc02-040c-4351-989f-6bfaee8f5200,browser_11,device_5428
d53715c6-a118-4481-ac56-9668c1049bbf,browser_23,device_1822
12682ec0-5fa5-4030-b73d-b36ff0c79aef,browser_23,device_1019
6943f904-997f-419b-be3d-6f8521c48c4a,browser_16,device_4564
dfb91bf5-0df9-4d69-b2b0-01e608e15dee,browser_11,device_3436
bc6f57a3-9bc6-450e-afd2-cdc9bb331c3a,browser_16,device_34
3dc4da01-e9bb-4591-9c34-3bcddf5c21ca,browser_16,device_5242
4185339d-bd8b-462e-b3fa-81c2b2732bf1,browser_11,device_2567
10186d36-8a93-41e8-8116-c0e5b8507e2b,browser_15,device_198
ad2ff29f-9e25-48d2-902e-97f50cc5ad8d,browser_11,device_3436
e38a479f-9300-4be9-82df-e308a3acf4b2,browser_16,device_5838
118dbee5-901c-49eb-ae0b-7df6e8684e73,browser_11,device_5428
e07ddf6b-66de-424c-b8b5-e25881a15893,browser_15,device_4404
35e204bf-6b6e-4111-95c4-c3dd76cb0928,browser_10,device_2337
2b246a75-2a58-4050-bcd2-d615d601aad9,browser_23,device_3715
88a1db3f-e4f6-4916-a4c8-c688a554da33,browser_16,device_358
eb671a2c-db83-4d49-ab69-ca4e39beeff3,browser_23,device_5064
def8b174-1f0b-4f32-9d81-dd1853642165,browser_11,device_5428
9baa7723-36f7-4317-8abc-7c766342ee35,browser_23,device_4564
c3a6c27d-fcdc-45a6-890b-ecfda2b5ede4,browser_11,device_2567
3f4e7660-7d37-46a4-8154-7433d7f6a60c,browser_16,device_358
97ae4de9-2c3d-461d-93b5-3f9b0ff4a330,browser_11,device_5428
3b8eed23-9881-4e7f-bd4a-90ee19c671c1,browser_1,device_4564
6c9558a6-01aa-4e59-b82a-991eccafa5be,browser_16,device_358
73a5bf8c-135f-4136-a3c3-a10ca20ec3ca,browser_16,device_2345
8a9c9616-ce11-4851-beeb-05f9f34c1978,browser_22,device_3972
eebd3ad3-87bc-4dcd-aa91-515ce20d0d02,browser_16,device_852
430cb7d3-87ed-4359-b246-deebd9f65a76,browser_16,device_4564
0de9c202-92ad-4d74-97c1-c35c0a4f5952,browser_16,device_334
25adcbe3-a96e-4b34-a902-801ad47457d2,browser_16,device_1866
deb1211f-4810-4acf-a8e8-04e8a504d6dd,browser_11,device_5428
039752b5-1a1b-4cf2-b9ba-5aa03c1efd41,browser_16,device_589
e2ca8876-4d7e-4577-980a-a54a01738270,browser_22,device_5267
53749bb8-1b9d-4f80-bbd9-5422ea359dde,browser_16,device_4564
ae01df28-6d42-43ea-9781-42c2860f623c,browser_11,device_5428
6930874e-1e7e-4843-9961-417564837e22,browser_11,device_2567
1cb12779-259e-4410-9ee4-7006ec1e8e48,browser_22,device_5077
a212db33-da5f-49ca-b421-94fc3085552e,browser_16,device_1428
581f70a5-3e4d-456c-86d6-723c74504f57,browser_16,device_2660
78c40b45-f05d-48b9-bdf3-c3233264d93e,browser_16,device_2011
433225fb-aa8c-4a71-b8d5-74b57d75f3b8,browser_22,device_3150
47c71dc4-46a5-42ff-9c45-b6110ae6f421,browser_11,device_2567
85cd01fa-8010-465a-a6d5-2060a3f03043,browser_23,device_1609
fdb4f692-ccf1-46d5-968c-70e4d38ed662,browser_22,device_3167
4dc5871e-b9bb-413a-843e-1a9bef1d0af0,browser_15,device_831
12d2bca6-1f0b-47d1-9486-48a8ecdf3958,browser_11,device_5428
4759cdbd-0a5e-4cb1-8299-82a83f60b71d,browser_16,device_5437
16a06bd4-e885-41c1-9927-9fd7287c6507,browser_11,device_5428
13c2871f-18e6-4272-b712-eae288b41118,browser_22,device_4759
0b1f50bb-5320-4e87-b57f-67677df0bdce,browser_16,device_5838
dc8867e0-e12b-4fe3-8840-2fede6011bc4,browser_11,device_5428
69bec323-d66d-4b5a-80db-7504fdb93c61,browser_16,device_38
386f151b-403e-4bf6-9bd9-0c45d1d1ec35,browser_16,device_3368
e514964c-7a89-4fb2-ba3c-f04959b902a5,browser_15,device_99
7e5969cc-fb61-444a-a317-7aff8b14668b,browser_8,device_5040
18781518-0ff3-4068-98a8-7df08db3a02f,browser_23,device_2385
4648f115-09d0-4731-bfb5-1840005dd12a,browser_16,device_5338
22736965-8118-4e80-bade-924eab8374a7,browser_22,device_5267
ffc8fb5a-c403-424e-ad4d-2e3a361eb104,browser_16,device_5426
86e40ebf-7403-4793-8a37-1309a7646c73,browser_16,device_2591
ec4842f7-067c-4a25-b35c-41ec44310eec,browser_16,device_3543
a15ffca9-0f68-4a83-89d4-2f954fd6a494,browser_16,device_2261
a58dd173-8157-4692-be5b-8f9c419d2b52,browser_11,device_3436
d8690840-43a7-4d2a-a3c3-ce6990903d8f,browser_15,device_3393
13e56700-0832-4cad-bbdd-8a90702ec6ed,browser_15,device_3888
be0d0370-61ac-4b0f-bff8-5fe5b7d11611,browser_22,device_5574
76aa71bc-c086-401c-9e3b-651596b725f1,browser_16,device_2658
feb52766-1966-4a24-981e-8583a2341d0d,browser_15,device_4206
58df1ca5-cfa8-441f-86c0-75f990921bc9,browser_11,device_5428
375e6a26-61b0-4bc9-a5c4-cfdda295d200,browser_11,device_5428
3455c8e4-0b1c-4992-9668-3b7ec015e7b9,browser_11,device_5428
1ff3047f-1348-4abc-9b9a-2810b0b640b4,browser_22,device_544
b8e3fc2f-7d19-414c-b523-870acc8398b8,browser_16,device_3628
1f70d75d-991a-4952-8e0e-784a36ee192c,browser_16,device_2261
7ef633ea-c775-4dbf-885b-3c0672ca9ced,browser_15,device_1662
a78b4739-155b-45e8-a270-922a823cfcc8,browser_16,device_2937
4028f549-35d5-412b-968f-41d0d5a914a8,browser_16,device_973
ab4a8413-ffd7-4c09-9859-3a2eb4209f62,browser_22,device_1112
1ce4ef6b-1708-4b86-8814-1f7ae31e4906,browser_16,device_1895
b6466291-d10f-4ff4-bc33-8b5e24fee446,browser_16,device_4345
f1941de1-a72f-432c-8001-9aefa29b7e28,browser_22,device_4759
33555cf8-51ea-4c01-89f4-c88c5ea12c37,browser_16,device_4564
a2557ce9-d1e8-4f20-a4c8-f3f91ea988e2,browser_15,device_3930
225369f4-7ceb-4121-af06-973886e8aa34,browser_15,device_4896
46bb6e86-d70e-4b1f-81a8-0cc2e2f7eabb,browser_16,device_4345
9ad09a6d-a292-4edb-999b-5db76ba49349,browser_16,device_3646
c5dde15f-705a-4504-8219-dcf18ed473d8,browser_16,device_779
6e43284e-e782-4b7c-af94-a426e5810ffa,browser_16,device_5680
5efa8297-f2aa-4adb-9cb2-606a5e90b18b,browser_16,device_4776
51e7cc89-2b71-4746-a218-b56c4e88920e,browser_16,device_5838
e87ece40-4e6c-45f1-b19d-55c7cd6218fc,browser_15,device_5505
d98602bd-fef1-4a2f-a5c1-d93df95166b1,browser_16,device_5006
c80d31cc-ad40-4f29-bce0-196490310e1d,browser_11,device_5428
4f6f8e6f-a260-4496-aa78-37cb6fa10d52,browser_16,device_3543
f1ce0ee3-1db7-4ebf-83b2-4475304b7d0a,browser_11,device_3436
58a602e7-302c-4b1d-9d4f-e75f1c65d0e1,browser_16,device_358
52dcd566-46b5-42a3-b282-7d0f476feb6c,browser_22,device_192
f3d93176-a353-460f-b9d6-44f2226837b5,browser_16,device_797
9dc69d14-9b69-4aff-bd95-4188cb653818,browser_16,device_3676
b7e0155a-d75a-4a2c-b3f3-73da9c48b41f,browser_16,device_4254
d874b5d5-6074-4410-b36a-074aa1dd3899,browser_15,device_1662
784ff3ea-ee56-4b4e-a4f0-93ae71063e36,browser_15,device_4002
dea30d6b-1d4a-4446-af51-d8b0d9a16f09,browser_23,device_983
7a2cfc8e-1848-4db3-aeec-51c0f66ac211,browser_15,device_4677
41e5e01f-37f7-42f3-83c8-95568f350c85,browser_22,device_735
8269d733-6ca6-4917-ad26-e47648f3be43,browser_16,device_5494
31c02622-9695-4ad1-beb5-5b15b06aab78,browser_16,device_560
28f90d83-0b0a-4bfc-a09f-8341ed411144,browser_16,device_878
b52b8126-6518-47e5-9156-bd9b90cb24b5,browser_16,device_3657
fded1185-5691-4cf4-8cb1-255eabc049ac,browser_11,device_5428
ecd4061e-cd26-40c1-9bb5-2902861c8c54,browser_15,device_2821
bd09cf2e-6326-421b-a667-3a6e98290f2e,browser_11,device_2567
d64ba8b1-36be-40ea-85d9-5f2fc03d4392,browser_23,device_4053
86bab8cc-adf3-407d-8a72-f2261cd7b43a,browser_11,device_2567
40494acc-716a-4480-8508-d6d88bf2388b,browser_11,device_5428
5ed746fb-a32a-436f-86c9-54dba95a8c83,browser_11,device_5428
0e7ed70e-92ac-48d1-b480-4b088b79ff1f,browser_6,device_3285
a07481e3-6083-4eb6-a0bf-d60bdccfe742,browser_15,device_867
95126649-2a5e-4d26-8517-53b1cf702ce3,browser_16,device_4564
faae72b4-da9b-4f9b-8ca2-0f780396df97,browser_16,device_5697
269c0b8c-e1e4-49e9-a1e8-da92d455e3a3,browser_22,device_1181
7b4462ea-63db-426a-b8cb-07dccb35c855,browser_16,device_4321
8e163952-1061-4526-9596-7f914d1b2619,browser_16,device_4792
a835d0fd-44e8-410c-a9ff-04e509a96cfa,browser_16,device_4345
9c61448c-9173-42a9-b875-4c3c86d04271,browser_16,device_5782
